Objects
100
,,Global Angle vicon_mount_husky:vicon_mount_husky,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
1,0,0.0265768,-0.0370875,0.249913,-102.85,-173.535,120.619
2,0,0.0267827,-0.0371266,0.25004,-102.861,-173.53,120.6
3,0,0.0267157,-0.0370836,0.25016,-102.856,-173.522,120.602
4,0,0.0267731,-0.0368759,0.250171,-102.847,-173.508,120.624
5,0,0.0267556,-0.0371092,0.250218,-102.852,-173.506,120.617
6,0,0.0269372,-0.0369466,0.250075,-102.855,-173.501,120.622
7,0,0.0273494,-0.03729,0.249978,-102.858,-173.515,120.596
8,0,0.0275095,-0.0373292,0.249746,-102.863,-173.512,120.573
9,0,0.0275779,-0.0371563,0.249686,-102.875,-173.504,120.538
10,0,0.027437,-0.0370234,0.249562,-102.879,-173.496,120.536
11,0,0.0274114,-0.0372113,0.249501,-102.882,-173.489,120.555
12,0,0.0274202,-0.0369264,0.249347,-102.876,-173.479,120.564
13,0,0.0274596,-0.0369989,0.249187,-102.874,-173.472,120.532
14,0,0.027768,-0.0370715,0.248809,-102.861,-173.483,120.506
15,0,0.028129,-0.037339,0.24865,-102.863,-173.495,120.469
16,0,0.0280618,-0.038648,0.248438,-102.965,-173.496,120.271
17,0,0.0280825,-0.0381249,0.248198,-102.968,-173.496,120.259
18,0,0.0280574,-0.0383846,0.248204,-102.978,-173.486,120.269
19,0,0.0278482,-0.039393,0.249047,-102.802,-173.533,120.652
20,0,0.0281216,-0.0383388,0.250703,-102.732,-173.43,120.68
21,0,0.0283817,-0.0381368,0.250691,-102.736,-173.429,120.69
22,0,0.0288471,-0.0379935,0.250624,-102.738,-173.443,120.684
23,0,0.0290957,-0.0376466,0.250661,-102.735,-173.45,120.66
24,0,0.0293862,-0.0371171,0.25079,-102.73,-173.455,120.648
25,0,0.0295955,-0.0367278,0.250917,-102.721,-173.469,120.664
26,0,0.0297072,-0.0359864,0.251053,-102.714,-173.459,120.697
27,0,0.0297341,-0.0355045,0.251194,-102.697,-173.448,120.7
28,0,0.0292282,-0.0407224,0.249647,-102.72,-173.528,120.753
29,0,0.0296798,-0.0406911,0.249493,-102.711,-173.544,120.782
30,0,0.0300361,-0.040755,0.249411,-102.715,-173.559,120.774
31,0,0.0302805,-0.0404104,0.249271,-102.713,-173.559,120.785
32,0,0.0303786,-0.0405384,0.249301,-102.714,-173.579,120.803
33,0,0.0306258,-0.0404409,0.2493,-102.708,-173.588,120.835
34,0,0.02761,-0.0403321,0.250324,-102.781,-173.489,120.656
35,0,0.0276027,-0.0404386,0.250225,-102.776,-173.502,120.642
36,0,0.0276316,-0.0408234,0.250143,-102.769,-173.519,120.635
37,0,0.0296078,-0.0425805,0.247554,-102.621,-173.384,120.637
38,0,0.0295954,-0.042759,0.247507,-102.613,-173.379,120.627
39,0,0.0295942,-0.0412066,0.247677,-102.585,-173.514,120.817
40,0,0.0295308,-0.0412857,0.247736,-102.588,-173.496,120.826
41,0,0.0293241,-0.0411463,0.247756,-102.586,-173.469,120.833
42,0,0.0292338,-0.0412874,0.247749,-102.592,-173.46,120.825
43,0,0.0267734,-0.0446072,0.248594,-102.743,-173.672,120.792
44,0,0.0268336,-0.0444757,0.248679,-102.743,-173.673,120.751
45,0,0.0269829,-0.04431,0.248634,-102.739,-173.674,120.699
46,0,0.0270701,-0.0440064,0.248727,-102.73,-173.667,120.66
47,0,0.0268583,-0.0435035,0.248831,-102.718,-173.652,120.645
48,0,0.026614,-0.0429284,0.249057,-102.71,-173.634,120.647
49,0,0.0264906,-0.0424603,0.249169,-102.697,-173.611,120.639
50,0,0.02626,-0.0422966,0.249352,-102.694,-173.597,120.631
51,0,0.0262901,-0.0420758,0.249357,-102.694,-173.598,120.624
52,0,0.0262878,-0.0419208,0.249406,-102.693,-173.615,120.597
53,0,0.0261489,-0.0413595,0.249509,-102.695,-173.619,120.572
54,0,0.0258876,-0.0412141,0.24962,-102.69,-173.634,120.536
55,0,0.0226791,-0.0414865,0.249291,-102.67,-173.561,120.358
56,0,0.0224382,-0.0410408,0.249356,-102.655,-173.573,120.385
57,0,0.0222845,-0.0408952,0.249481,-102.647,-173.584,120.388
58,0,0.0221543,-0.0409342,0.249377,-102.628,-173.593,120.39
59,0,0.0221537,-0.0411911,0.249326,-102.623,-173.62,120.393
60,0,0.0219695,-0.040821,0.249356,-102.611,-173.635,120.377
61,0,0.0217694,-0.0404051,0.249404,-102.612,-173.646,120.361
62,0,0.021504,-0.0402338,0.249518,-102.609,-173.667,120.367
63,0,0.0211366,-0.0401672,0.249761,-102.599,-173.683,120.378
64,0,0.0202425,-0.0397538,0.247684,-102.702,-173.527,120.4
65,0,0.0201303,-0.0402693,0.247764,-102.702,-173.519,120.385
66,0,0.0202341,-0.0404936,0.24774,-102.704,-173.533,120.392
67,0,0.0203101,-0.0407322,0.24769,-102.702,-173.547,120.36
68,0,0.0201397,-0.040654,0.247721,-102.705,-173.538,120.331
69,0,0.0197438,-0.0408121,0.247841,-102.71,-173.544,120.305
70,0,0.0194451,-0.0407801,0.247949,-102.717,-173.536,120.321
71,0,0.0190331,-0.0411558,0.248229,-102.726,-173.531,120.308
72,0,0.0187642,-0.0412269,0.24824,-102.732,-173.515,120.31
73,0,0.0186374,-0.0416232,0.248354,-102.741,-173.515,120.278
74,0,0.0184348,-0.043312,0.248367,-102.851,-173.533,120.081
75,0,0.018229,-0.0430768,0.248357,-102.858,-173.529,120.058
76,0,0.0180817,-0.0429552,0.24838,-102.851,-173.536,120.036
77,0,0.0177553,-0.0429535,0.248487,-102.854,-173.538,120.032
78,0,0.0171946,-0.0427138,0.248723,-102.863,-173.52,120.032
79,0,0.0202129,-0.0429069,0.247433,-102.905,-173.692,120.203
80,0,0.0204189,-0.0426405,0.247568,-102.906,-173.685,120.229
81,0,0.0206643,-0.0424516,0.247872,-102.911,-173.689,120.235
82,0,0.0210553,-0.041595,0.247864,-102.907,-173.678,120.239
83,0,0.0211051,-0.0411274,0.247928,-102.907,-173.664,120.225
84,0,0.0210925,-0.0407506,0.247901,-102.903,-173.661,120.239
85,0,0.020876,-0.0413938,0.248222,-102.901,-173.661,120.229
86,0,0.0225049,-0.0413604,0.246825,-102.928,-173.462,120.223
87,0,0.0224958,-0.0418083,0.246993,-102.918,-173.445,120.214
88,0,0.0229635,-0.0401663,0.244582,-102.839,-173.42,120.11
89,0,0.0233311,-0.0403541,0.244711,-102.819,-173.441,120.096
90,0,0.023985,-0.0411883,0.244886,-102.798,-173.442,120.031
91,0,0.024221,-0.0418469,0.245034,-102.781,-173.432,119.972
92,0,0.0241083,-0.0421244,0.245328,-102.763,-173.435,119.953
93,0,0.0237886,-0.0425519,0.245549,-102.749,-173.423,119.934
94,0,0.0236522,-0.0429276,0.245695,-102.739,-173.424,119.935
95,0,0.0234205,-0.0431123,0.245726,-102.724,-173.443,119.95
96,0,0.0234528,-0.0432613,0.245762,-102.716,-173.453,119.944
97,0,0.0233426,-0.0432779,0.245659,-102.708,-173.46,119.91
98,0,0.0234973,-0.0438811,0.245657,-102.693,-173.464,119.873
99,0,0.0233183,-0.0441059,0.245694,-102.69,-173.482,119.858
100,0,0.0293774,-0.0402926,0.24837,-102.973,-173.48,120.362
101,0,0.0291732,-0.0404896,0.248482,-102.966,-173.482,120.36
102,0,0.0292018,-0.0408423,0.24843,-102.959,-173.479,120.359
103,0,0.0313844,-0.0418384,0.245726,-102.816,-173.313,120.399
104,0,0.0315302,-0.0421118,0.24564,-102.815,-173.315,120.37
105,0,0.0315596,-0.0423365,0.245672,-102.81,-173.323,120.354
106,0,0.0315709,-0.0425164,0.245658,-102.813,-173.329,120.35
107,0,0.0314615,-0.0427335,0.245729,-102.821,-173.329,120.351
108,0,0.0313663,-0.0430562,0.245715,-102.817,-173.332,120.354
109,0,0.031209,-0.0435889,0.245673,-102.815,-173.341,120.347
110,0,0.0312879,-0.0442041,0.245547,-102.804,-173.34,120.329
111,0,0.0312712,-0.0445553,0.245461,-102.797,-173.351,120.293
112,0,0.0313789,-0.0449041,0.245349,-102.793,-173.362,120.286
113,0,0.0314719,-0.0455069,0.245194,-102.789,-173.374,120.283
114,0,0.0313979,-0.0458787,0.245202,-102.79,-173.386,120.291
115,0,0.0313092,-0.0464888,0.245191,-102.793,-173.375,120.281
116,0,0.0311856,-0.0471617,0.245127,-102.791,-173.376,120.285
117,0,0.031102,-0.0476029,0.244912,-102.793,-173.386,120.295
118,0,0.0310343,-0.0479545,0.24471,-102.797,-173.396,120.293
119,0,0.0310651,-0.0484649,0.244578,-102.803,-173.41,120.283
120,0,0.0311451,-0.0488107,0.244522,-102.805,-173.428,120.281
121,0,0.0312045,-0.0492712,0.244345,-102.805,-173.44,120.288
122,0,0.0348472,-0.0424423,0.245158,-102.762,-173.445,120.546
123,0,0.0347991,-0.0424715,0.245133,-102.758,-173.439,120.556
124,0,0.0345704,-0.0434486,0.245234,-102.645,-173.471,120.44
