Objects
100
,,Global Angle vicon_mount_husky:vicon_mount_husky,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
85,0,-0.0309999,-0.0116365,0.266001,-124.302,-336.083,119.803
86,0,-0.0310072,-0.0111401,0.266089,-124.308,-336.079,119.805
87,0,-0.030981,-0.0108602,0.266073,-124.307,-336.085,119.82
88,0,-0.0309328,-0.0109487,0.266131,-124.308,-336.101,119.85
89,0,-0.0309494,-0.0107179,0.266185,-124.303,-336.106,119.86
90,0,-0.0310402,-0.0108323,0.266198,-124.286,-336.108,119.846
91,0,-0.0309355,-0.0109047,0.266259,-124.279,-336.134,119.854
92,0,-0.0309514,-0.0109436,0.266262,-124.267,-336.153,119.861
93,0,-0.0310362,-0.0107388,0.266354,-124.251,-336.154,119.861
94,0,-0.0310587,-0.0103504,0.266362,-124.25,-336.153,119.882
95,0,-0.0309535,-0.0102397,0.266348,-124.253,-336.158,119.925
96,0,-0.0309942,-0.0100182,0.26636,-124.261,-336.162,119.961
97,0,-0.0311316,-0.00993305,0.266372,-124.262,-336.172,119.948
98,0,-0.0311604,-0.00991071,0.266429,-124.268,-336.188,119.937
99,0,-0.0310181,-0.00998357,0.266388,-124.259,-336.204,119.925
100,0,-0.0310408,-0.010064,0.266465,-124.246,-336.216,119.913
101,0,-0.0312092,-0.0100125,0.266459,-124.23,-336.209,119.9
102,0,-0.0312287,-0.0100189,0.26647,-124.217,-336.201,119.913
103,0,-0.0311771,-0.00995187,0.266383,-124.211,-336.201,119.949
104,0,-0.0313798,-0.010071,0.266334,-124.209,-336.194,119.937
105,0,-0.0315498,-0.00980472,0.266278,-124.219,-336.188,119.93
106,0,-0.0315887,-0.0100508,0.26625,-124.226,-336.194,119.896
107,0,-0.0315957,-0.010275,0.266234,-124.229,-336.211,119.898
108,0,-0.0317041,-0.0102239,0.266176,-124.225,-336.212,119.877
109,0,-0.0334749,-0.0105177,0.264778,-124.117,-336.263,119.785
110,0,-0.0335071,-0.010627,0.264759,-124.113,-336.264,119.803
111,0,-0.033639,-0.0109084,0.264673,-124.101,-336.267,119.814
112,0,-0.0337444,-0.011083,0.264667,-124.092,-336.26,119.79
113,0,-0.0338294,-0.0112159,0.264675,-124.097,-336.266,119.773
114,0,-0.0338778,-0.011237,0.26456,-124.101,-336.277,119.775
115,0,-0.0339552,-0.01135,0.26452,-124.103,-336.271,119.754
116,0,-0.034026,-0.0110619,0.264558,-124.101,-336.262,119.75
117,0,-0.0341012,-0.0113523,0.264583,-124.104,-336.259,119.748
118,0,-0.0340997,-0.0113059,0.264489,-124.106,-336.259,119.772
119,0,-0.0343371,-0.0113835,0.264526,-124.107,-336.254,119.754
120,0,-0.0343636,-0.0115256,0.264527,-124.105,-336.257,119.731
121,0,-0.0343433,-0.0116857,0.264442,-124.105,-336.276,119.734
122,0,-0.0343297,-0.0119085,0.264475,-124.104,-336.284,119.708
123,0,-0.0344687,-0.0117103,0.264404,-124.09,-336.27,119.697
124,0,-0.0344857,-0.0116871,0.26437,-124.09,-336.259,119.706
125,0,-0.0346009,-0.0118039,0.264367,-124.085,-336.263,119.721
126,0,-0.0348137,-0.0117866,0.264297,-124.094,-336.267,119.739
127,0,-0.0306926,-0.0112669,0.267255,-124.299,-336.149,119.903
128,0,-0.0308136,-0.0113446,0.267232,-124.3,-336.151,119.878
129,0,-0.0307779,-0.0115481,0.267255,-124.303,-336.155,119.854
130,0,-0.0308126,-0.0113902,0.267222,-124.303,-336.158,119.848
131,0,-0.0306971,-0.0115314,0.267328,-124.3,-336.163,119.865
132,0,-0.0306359,-0.0115218,0.26738,-124.3,-336.159,119.888
133,0,-0.0307029,-0.0113918,0.267351,-124.296,-336.135,119.888
134,0,-0.0307687,-0.0117647,0.267305,-124.296,-336.136,119.873
135,0,-0.0306806,-0.0117513,0.267332,-124.306,-336.153,119.888
136,0,-0.0306467,-0.0119127,0.267233,-124.319,-336.161,119.872
137,0,-0.0306951,-0.0117424,0.26729,-124.322,-336.16,119.856
138,0,-0.0307413,-0.0117748,0.26726,-124.32,-336.147,119.835
139,0,-0.0306254,-0.0115853,0.267355,-124.32,-336.143,119.858
140,0,-0.0305385,-0.0116752,0.267278,-124.315,-336.138,119.877
141,0,-0.0306733,-0.0118997,0.267245,-124.319,-336.135,119.864
142,0,-0.0308078,-0.0119348,0.267222,-124.322,-336.128,119.853
143,0,-0.0308319,-0.0120598,0.267224,-124.332,-336.13,119.841
144,0,-0.0307931,-0.012301,0.267237,-124.333,-336.137,119.826
145,0,-0.0306554,-0.0121093,0.267225,-124.336,-336.128,119.827
146,0,-0.0307185,-0.0119643,0.267184,-124.335,-336.126,119.828
147,0,-0.0306644,-0.0121031,0.26723,-124.333,-336.114,119.839
148,0,-0.0307646,-0.0119733,0.267125,-124.334,-336.091,119.846
149,0,-0.0309015,-0.0122497,0.267014,-124.339,-336.083,119.828
150,0,-0.0307527,-0.0122383,0.267093,-124.343,-336.095,119.816
151,0,-0.0307083,-0.012569,0.267049,-124.351,-336.103,119.797
152,0,-0.0308246,-0.0123281,0.267011,-124.364,-336.096,119.78
153,0,-0.030872,-0.0122185,0.267055,-124.356,-336.087,119.766
154,0,-0.0286905,-0.0115817,0.267332,-124.357,-336.198,119.939
155,0,-0.0287368,-0.0116851,0.267387,-124.354,-336.18,119.944
156,0,-0.0287908,-0.0118058,0.267302,-124.347,-336.165,119.919
157,0,-0.0288163,-0.011905,0.26725,-124.346,-336.159,119.905
158,0,-0.0287171,-0.0119901,0.267217,-124.34,-336.176,119.898
159,0,-0.0287269,-0.0121277,0.267192,-124.348,-336.177,119.888
160,0,-0.028846,-0.0118173,0.267262,-124.352,-336.163,119.864
161,0,-0.0288854,-0.0115549,0.267305,-124.361,-336.151,119.879
162,0,-0.028939,-0.0118231,0.267393,-124.366,-336.159,119.898
163,0,-0.0290024,-0.0114769,0.267401,-124.371,-336.157,119.915
164,0,-0.0290657,-0.0115898,0.267331,-124.369,-336.156,119.904
165,0,-0.0290426,-0.0116544,0.267335,-124.364,-336.174,119.901
166,0,-0.0289922,-0.011676,0.26726,-124.358,-336.186,119.89
167,0,-0.0290272,-0.0114992,0.267326,-124.347,-336.186,119.883
168,0,-0.0289957,-0.0113459,0.267368,-124.344,-336.185,119.902
169,0,-0.0289637,-0.0112949,0.26746,-124.345,-336.187,119.926
170,0,-0.0291149,-0.0109391,0.267476,-124.354,-336.176,119.947
171,0,-0.029351,-0.0107689,0.267472,-124.361,-336.159,119.934
172,0,-0.0293915,-0.0107072,0.26746,-124.367,-336.176,119.936
173,0,-0.0292855,-0.0108571,0.267434,-124.368,-336.192,119.933
174,0,-0.0292132,-0.0108435,0.267451,-124.365,-336.205,119.924
175,0,-0.0292542,-0.0106837,0.267478,-124.356,-336.208,119.912
176,0,-0.0291938,-0.0105511,0.267544,-124.345,-336.205,119.929
177,0,-0.0291305,-0.0106951,0.267564,-124.341,-336.201,119.95
178,0,-0.0292233,-0.010659,0.267591,-124.344,-336.192,119.964
179,0,-0.029299,-0.010474,0.267506,-124.342,-336.187,119.976
180,0,-0.0293366,-0.010731,0.26754,-124.35,-336.189,119.951
181,0,-0.0293396,-0.0106821,0.267494,-124.36,-336.189,119.924
182,0,-0.0293272,-0.0104366,0.267486,-124.366,-336.188,119.905
183,0,-0.0293049,-0.0104521,0.267477,-124.378,-336.182,119.902
184,0,-0.0292954,-0.010511,0.267547,-124.373,-336.17,119.909
185,0,-0.0293791,-0.0105819,0.267506,-124.37,-336.145,119.912
186,0,-0.029472,-0.0107767,0.267403,-124.369,-336.137,119.911
187,0,-0.029355,-0.0110361,0.267335,-124.37,-336.138,119.907
188,0,-0.0292556,-0.0112188,0.267324,-124.373,-336.145,119.865
189,0,-0.0293067,-0.0109963,0.267273,-124.372,-336.133,119.831
190,0,-0.0292481,-0.00944395,0.267766,-124.356,-336.258,119.991
191,0,-0.0291463,-0.00937353,0.26778,-124.353,-336.258,120.026
192,0,-0.029162,-0.00928099,0.267834,-124.351,-336.231,120.049
193,0,-0.0293819,-0.00929365,0.26782,-124.354,-336.22,120.051
194,0,-0.0292957,-0.00927982,0.267773,-124.352,-336.231,120.056
195,0,-0.0292899,-0.00954951,0.267713,-124.356,-336.242,120.047
196,0,-0.0292269,-0.0093757,0.267662,-124.356,-336.251,120.023
197,0,-0.0292343,-0.00929083,0.267617,-124.357,-336.254,120.004
198,0,-0.0290953,-0.00920924,0.267647,-124.356,-336.253,120.018
199,0,-0.0291586,-0.00920904,0.267739,-124.354,-336.242,120.031
200,0,-0.0292435,-0.0091817,0.267683,-124.352,-336.229,120.043
201,0,-0.0292725,-0.0093675,0.267613,-124.341,-336.229,120.055
202,0,-0.0292445,-0.00950705,0.267598,-124.338,-336.238,120.059
203,0,-0.0291674,-0.0094859,0.267525,-124.346,-336.243,120.039
204,0,-0.0291121,-0.00924321,0.267496,-124.346,-336.236,120.026
205,0,-0.0290203,-0.00923994,0.267549,-124.353,-336.25,120.031
206,0,-0.0290217,-0.00905055,0.267547,-124.356,-336.24,120.054
207,0,-0.0290537,-0.00885437,0.267586,-124.352,-336.235,120.072
208,0,-0.029002,-0.0090839,0.267541,-124.349,-336.228,120.077
209,0,-0.0289745,-0.00936986,0.26755,-124.348,-336.243,120.072
210,0,-0.0288524,-0.00939259,0.267457,-124.337,-336.24,120.049
211,0,-0.0288108,-0.00944377,0.267473,-124.33,-336.245,120.03
212,0,-0.0286741,-0.00938113,0.267479,-124.333,-336.253,120.044
213,0,-0.0285527,-0.00913736,0.267582,-124.332,-336.246,120.069
214,0,-0.028716,-0.0090427,0.267533,-124.335,-336.225,120.071
215,0,-0.0288032,-0.00903645,0.267482,-124.337,-336.218,120.076
216,0,-0.0287762,-0.00916918,0.26739,-124.345,-336.226,120.091
217,0,-0.028633,-0.00928387,0.26737,-124.346,-336.232,120.087
218,0,-0.0285833,-0.00939308,0.267303,-124.339,-336.243,120.056
219,0,-0.0283316,-0.00910698,0.267356,-124.334,-336.242,120.053
220,0,-0.0282586,-0.00913905,0.2674,-124.336,-336.245,120.067
221,0,-0.0282538,-0.0093845,0.267401,-124.323,-336.241,120.078
222,0,-0.0283058,-0.00911118,0.26734,-124.314,-336.231,120.1
223,0,-0.0282588,-0.00928485,0.267331,-124.316,-336.225,120.111
224,0,-0.0282728,-0.00939091,0.267299,-124.322,-336.23,120.111
225,0,-0.0283219,-0.00920147,0.26721,-124.329,-336.227,120.087
226,0,-0.028279,-0.00890686,0.267229,-124.337,-336.226,120.079
227,0,-0.0281334,-0.00885537,0.267252,-124.339,-336.239,120.091
228,0,-0.0280097,-0.00904666,0.267236,-124.338,-336.242,120.108
229,0,-0.0281527,-0.00883075,0.267247,-124.328,-336.228,120.111
230,0,-0.0281188,-0.00914598,0.26718,-124.321,-336.219,120.103
231,0,-0.0278966,-0.00936007,0.267156,-124.308,-336.235,120.114
232,0,-0.0338401,-0.0104826,0.26421,-124.127,-336.233,119.78
233,0,-0.0337837,-0.0103761,0.26429,-124.126,-336.223,119.765
234,0,-0.0336873,-0.0103781,0.264332,-124.133,-336.219,119.76
235,0,-0.0336384,-0.0117057,0.264002,-124.182,-336.111,119.642
236,0,-0.0336201,-0.011265,0.264123,-124.18,-336.11,119.663
237,0,-0.0337566,-0.0109181,0.264177,-124.193,-336.105,119.679
238,0,-0.0336336,-0.0111139,0.26427,-124.198,-336.126,119.697
239,0,-0.0333683,-0.0113291,0.264329,-124.199,-336.147,119.72
240,0,-0.033278,-0.0114668,0.264403,-124.194,-336.16,119.696
241,0,-0.0332411,-0.0111664,0.264432,-124.182,-336.149,119.688
242,0,-0.0330128,-0.0110434,0.2645,-124.18,-336.163,119.707
243,0,-0.0328363,-0.0109431,0.264503,-124.174,-336.162,119.737
244,0,-0.0329672,-0.0108213,0.264635,-124.181,-336.156,119.756
245,0,-0.0329662,-0.0106899,0.264541,-124.192,-336.148,119.759
246,0,-0.0329231,-0.0108903,0.264621,-124.21,-336.152,119.766
247,0,-0.0328961,-0.0108597,0.264651,-124.216,-336.159,119.757
248,0,-0.0328536,-0.0109227,0.264735,-124.224,-336.159,119.747
249,0,-0.031156,-0.0107746,0.26603,-124.314,-336.112,119.818
250,0,-0.0310934,-0.010901,0.266112,-124.297,-336.112,119.834
251,0,-0.0311867,-0.0107508,0.266106,-124.3,-336.097,119.835
252,0,-0.0311693,-0.0109136,0.266087,-124.294,-336.086,119.819
253,0,-0.0311062,-0.0111428,0.266073,-124.298,-336.087,119.818
254,0,-0.0311148,-0.0114239,0.265996,-124.312,-336.087,119.798
255,0,-0.0311683,-0.0113842,0.265904,-124.316,-336.077,119.777
256,0,-0.0311908,-0.0114532,0.265928,-124.326,-336.072,119.761
257,0,-0.0312521,-0.0115095,0.265952,-124.326,-336.066,119.757
258,0,-0.0312033,-0.0113847,0.265986,-124.326,-336.061,119.785
259,0,-0.0311824,-0.0114908,0.265941,-124.321,-336.052,119.798
260,0,-0.0311636,-0.0119398,0.265937,-124.327,-336.051,119.781
261,0,-0.0311584,-0.0103812,0.266353,-124.285,-336.169,119.935
262,0,-0.0311893,-0.0104835,0.26638,-124.288,-336.171,119.902
263,0,-0.0311092,-0.0107868,0.266291,-124.285,-336.177,119.876
264,0,-0.0310337,-0.0106769,0.266268,-124.282,-336.18,119.88
265,0,-0.0311071,-0.0105094,0.266306,-124.288,-336.172,119.88
266,0,-0.0311113,-0.0102694,0.266469,-124.283,-336.153,119.903
267,0,-0.0310982,-0.0103328,0.266581,-124.294,-336.15,119.916
268,0,-0.0310907,-0.0103687,0.266328,-124.294,-336.158,119.936
269,0,-0.0311761,-0.0104848,0.266,-124.304,-336.171,119.932
270,0,-0.031223,-0.0104966,0.26605,-124.307,-336.181,119.913
271,0,-0.0311879,-0.0104539,0.266342,-124.297,-336.178,119.898
272,0,-0.0310449,-0.0105981,0.26679,-124.292,-336.172,119.881
273,0,-0.0309361,-0.0105137,0.266774,-124.286,-336.161,119.905
274,0,-0.0310959,-0.0105647,0.26647,-124.285,-336.154,119.898
275,0,-0.0310287,-0.0106028,0.26602,-124.278,-336.163,119.901
276,0,-0.0311195,-0.0107076,0.265964,-124.282,-336.17,119.912
277,0,-0.0310881,-0.0106976,0.26616,-124.296,-336.179,119.899
278,0,-0.0310691,-0.0104606,0.266632,-124.293,-336.169,119.881
279,0,-0.0309943,-0.0103952,0.266867,-124.292,-336.168,119.904
280,0,-0.0311257,-0.0102554,0.266642,-124.293,-336.159,119.934
281,0,-0.0313276,-0.0101164,0.26606,-124.296,-336.146,119.93
282,0,-0.0311767,-0.0105526,0.265501,-124.291,-336.149,119.909
283,0,-0.031141,-0.0104035,0.266363,-124.291,-336.158,119.908
284,0,-0.0309866,-0.0105614,0.267345,-124.288,-336.169,119.89
285,0,-0.0311752,-0.0108238,0.267217,-124.287,-336.166,119.866
286,0,-0.0310878,-0.0108896,0.265695,-124.285,-336.177,119.862
287,0,-0.0312655,-0.0107787,0.26505,-124.279,-336.179,119.874
288,0,-0.0313325,-0.00995469,0.26615,-124.27,-336.151,119.926
289,0,-0.031262,-0.0101196,0.267707,-124.276,-336.127,119.952
290,0,-0.0313229,-0.0103269,0.267613,-124.283,-336.133,119.958
291,0,-0.03136,-0.0103247,0.265699,-124.285,-336.158,119.926
292,0,-0.0314407,-0.0103803,0.264793,-124.285,-336.176,119.865
293,0,-0.0314112,-0.0101008,0.266122,-124.288,-336.175,119.859
294,0,-0.0311301,-0.0104477,0.268057,-124.277,-336.155,119.879
295,0,-0.0311395,-0.0102402,0.267965,-124.266,-336.142,119.902
296,0,-0.0312926,-0.0103744,0.265836,-124.258,-336.159,119.907
297,0,-0.031502,-0.0103146,0.264544,-124.256,-336.164,119.894
298,0,-0.0313833,-0.0102621,0.265871,-124.268,-336.157,119.908
299,0,-0.0311586,-0.0103793,0.267802,-124.272,-336.151,119.917
300,0,-0.0315513,-0.00965794,0.268137,-124.282,-336.136,119.896
301,0,-0.0311668,-0.0103892,0.266217,-124.274,-336.171,119.921
302,0,-0.0313372,-0.010294,0.264912,-124.272,-336.17,119.878
303,0,-0.0313584,-0.00986602,0.265831,-124.267,-336.159,119.891
304,0,-0.0313163,-0.0101115,0.267503,-124.25,-336.119,119.908
305,0,-0.0313656,-0.0104796,0.268016,-124.277,-336.146,119.884
306,0,-0.0311728,-0.0104703,0.266536,-124.239,-336.173,119.911
307,0,-0.0316004,-0.0105,0.265465,-124.253,-336.178,119.829
308,0,-0.0314531,-0.0104974,0.265667,-124.246,-336.192,119.861
309,0,-0.0312885,-0.0103548,0.266829,-124.253,-336.157,119.87
310,0,-0.0315047,-0.0100682,0.267448,-124.262,-336.148,119.918
311,0,-0.0316644,-0.00981227,0.266736,-124.242,-336.111,119.898
312,0,-0.0314965,-0.00997835,0.266124,-124.277,-336.16,119.912
313,0,-0.0313579,-0.0105989,0.266014,-124.238,-336.162,119.9
314,0,-0.0314085,-0.0104733,0.266488,-124.285,-336.194,119.872
315,0,-0.0315665,-0.0104277,0.266584,-124.254,-336.183,119.827
316,0,-0.0316923,-0.010347,0.266353,-124.262,-336.177,119.809
317,0,-0.0315492,-0.0105397,0.266165,-124.246,-336.174,119.846
318,0,-0.0317563,-0.0103187,0.266631,-124.216,-336.139,119.859
319,0,-0.0315447,-0.0106807,0.266302,-124.238,-336.174,119.927
320,0,-0.0317965,-0.0106018,0.265739,-124.231,-336.173,119.908
321,0,-0.0321786,-0.0102609,0.266028,-124.26,-336.172,119.842
322,0,-0.03218,-0.0104325,0.266289,-124.246,-336.138,119.79
323,0,-0.032031,-0.0106863,0.266461,-124.262,-336.16,119.794
324,0,-0.0317639,-0.0111708,0.265515,-124.228,-336.184,119.83
325,0,-0.0322205,-0.0106347,0.265518,-124.234,-336.176,119.836
326,0,-0.0326314,-0.0105833,0.266482,-124.233,-336.153,119.817
327,0,-0.0325613,-0.010896,0.266357,-124.216,-336.133,119.813
328,0,-0.0304703,-0.011126,0.266697,-124.308,-336.119,119.928
329,0,-0.0303526,-0.0111619,0.266882,-124.289,-336.125,119.899
330,0,-0.0303192,-0.0108836,0.267378,-124.326,-336.149,119.881
331,0,-0.0302924,-0.0123039,0.266551,-124.368,-336.034,119.738
332,0,-0.0306825,-0.0117376,0.26714,-124.388,-335.994,119.751
333,0,-0.0304647,-0.0120017,0.266924,-124.359,-335.998,119.755
334,0,-0.0302252,-0.0123178,0.266425,-124.359,-336.015,119.789
335,0,-0.0304714,-0.0122877,0.26721,-124.363,-336.014,119.801
336,0,-0.030773,-0.0120744,0.266503,-124.35,-336.008,119.703
337,0,-0.030734,-0.0120649,0.266763,-124.345,-336.025,119.735
338,0,-0.030747,-0.0122836,0.266898,-124.329,-336.023,119.765
339,0,-0.0301779,-0.0121971,0.266709,-124.313,-336.045,119.776
340,0,-0.0305418,-0.0120502,0.267224,-124.32,-335.985,119.833
341,0,-0.0303714,-0.0119175,0.266574,-124.332,-336.013,119.812
342,0,-0.0304107,-0.0121805,0.267153,-124.344,-336.021,119.816
343,0,-0.0305865,-0.0121421,0.266498,-124.351,-336.047,119.785
344,0,-0.0302363,-0.0122302,0.267027,-124.358,-336.079,119.781
345,0,-0.0301854,-0.0124298,0.266697,-124.375,-336.086,119.789
346,0,-0.0297649,-0.0123357,0.267006,-124.381,-336.118,119.832
347,0,-0.030249,-0.0122636,0.266866,-124.384,-336.087,119.836
348,0,-0.0296933,-0.0122596,0.266992,-124.385,-336.112,119.842
349,0,-0.0301955,-0.0125518,0.266977,-124.394,-336.098,119.859
350,0,-0.0295838,-0.0124707,0.266765,-124.393,-336.146,119.842
351,0,-0.0301988,-0.0126828,0.26705,-124.399,-336.129,119.818
352,0,-0.0296733,-0.012393,0.266654,-124.388,-336.159,119.797
353,0,-0.0302023,-0.0123759,0.267182,-124.391,-336.126,119.814
354,0,-0.0296171,-0.0122249,0.266664,-124.365,-336.13,119.835
355,0,-0.0281536,-0.0112533,0.267659,-124.371,-336.197,120.028
356,0,-0.0277978,-0.0112627,0.266952,-124.342,-336.227,120.03
357,0,-0.0283697,-0.0114777,0.26752,-124.351,-336.202,120.032
358,0,-0.028008,-0.0115499,0.266839,-124.326,-336.234,119.982
359,0,-0.0282288,-0.0115536,0.267683,-124.339,-336.23,119.978
360,0,-0.0277217,-0.0116312,0.266956,-124.323,-336.259,119.974
361,0,-0.0281249,-0.0116635,0.267619,-124.346,-336.237,119.999
362,0,-0.0275847,-0.0113544,0.267194,-124.327,-336.245,120.004
363,0,-0.0282271,-0.0116196,0.267393,-124.357,-336.231,120.031
364,0,-0.0275399,-0.0114746,0.26767,-124.343,-336.25,120.059
365,0,-0.0279603,-0.0119303,0.266882,-124.371,-336.272,120.031
366,0,-0.0280132,-0.0116952,0.267845,-124.363,-336.28,120.034
367,0,-0.0269504,-0.0120951,0.266797,-124.371,-336.347,120.016
368,0,-0.0283773,-0.0116887,0.267604,-124.395,-336.289,120.047
369,0,-0.0265572,-0.0119348,0.267712,-124.366,-336.34,120.021
370,0,-0.0281786,-0.0122089,0.266925,-124.406,-336.317,120.08
371,0,-0.0268743,-0.0121245,0.268063,-124.393,-336.361,120.114
372,0,-0.0267785,-0.0121632,0.267311,-124.408,-336.396,120.09
373,0,-0.027509,-0.0124367,0.266898,-124.449,-336.4,120.069
374,0,-0.0262226,-0.0123178,0.268132,-124.463,-336.46,120.069
375,0,-0.0264103,-0.0122924,0.26716,-124.484,-336.496,120.081
