Objects
100
,,Global Angle vicon_mount_husky:vicon_mount_husky,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
1,0,-0.00227224,-0.0410496,0.334181,1723.74,-2331.2,134.509
2,0,-0.00329237,-0.0407112,0.334873,1723.75,-2331.08,134.572
3,0,-0.00454407,-0.0384203,0.334135,1723.75,-2331.2,134.606
4,0,-0.00191463,-0.0418477,0.333995,1723.77,-2331.12,134.424
5,0,-0.00492741,-0.0385762,0.333604,1723.8,-2331.31,134.515
6,0,-0.00447441,-0.0392074,0.334648,1723.85,-2331.27,134.514
7,0,-0.00405987,-0.0399099,0.333853,1723.81,-2331.17,134.54
8,0,-0.00390435,-0.0402275,0.333493,1723.8,-2331.23,134.493
9,0,-0.00374769,-0.0403909,0.333278,1723.81,-2331.18,134.471
10,0,-0.00383965,-0.0403888,0.332704,1723.78,-2331.18,134.497
11,0,-0.00352985,-0.0404832,0.333166,1723.81,-2331.13,134.522
12,0,-0.00555697,-0.0384082,0.332499,1723.83,-2331.26,134.579
13,0,-0.00327786,-0.0414719,0.332824,1723.81,-2331.16,134.405
14,0,-0.00475337,-0.039204,0.332899,1723.83,-2331.18,134.504
15,0,-0.00621276,-0.0380107,0.333672,1723.89,-2331.28,134.56
16,0,-0.0035397,-0.040881,0.333001,1723.88,-2331.31,134.352
17,0,-0.00432967,-0.0398343,0.332429,1723.87,-2331.26,134.398
18,0,-0.00491297,-0.0394101,0.332698,1723.85,-2331.23,134.471
19,0,-0.00453785,-0.0404438,0.331744,1723.84,-2331.28,134.398
20,0,-0.00490481,-0.039938,0.332784,1723.87,-2331.25,134.419
21,0,-0.00426017,-0.0404348,0.333147,1723.92,-2331.27,134.387
22,0,-0.00501398,-0.0398747,0.332522,1723.89,-2331.2,134.508
23,0,-0.00520389,-0.0398195,0.332703,1723.96,-2331.39,134.383
24,0,-0.00485834,-0.039354,0.331702,1723.89,-2331.24,134.424
25,0,-0.00472769,-0.0401437,0.332965,1723.96,-2331.17,134.461
26,0,-0.00465814,-0.0395961,0.331586,1723.9,-2331.2,134.416
27,0,-0.00518834,-0.0399612,0.331749,1723.97,-2331.29,134.347
28,0,-0.00634746,-0.0388889,0.331394,1723.95,-2331.25,134.409
29,0,-0.00700263,-0.0382737,0.332466,1723.98,-2331.29,134.473
30,0,-0.00557291,-0.0393852,0.331808,1723.98,-2331.27,134.368
31,0,-0.00561857,-0.0397987,0.330974,1723.96,-2331.26,134.352
32,0,-0.00497763,-0.040125,0.330658,1723.96,-2331.17,134.371
33,0,-0.0057397,-0.0404656,0.330486,1723.95,-2331.15,134.401
34,0,-0.005985,-0.0393585,0.330272,1723.99,-2331.27,134.328
35,0,-0.00644181,-0.0402726,0.330538,1724.03,-2331.3,134.274
36,0,-0.00676704,-0.0393043,0.330188,1724.01,-2331.26,134.371
37,0,-0.00598006,-0.0400548,0.331045,1724.04,-2331.29,134.322
38,0,-0.0069072,-0.0380539,0.330638,1724.02,-2331.23,134.426
39,0,-0.00544905,-0.0398491,0.329719,1724.01,-2331.24,134.299
40,0,-0.004996,-0.0408689,0.330605,1724.04,-2331.28,134.247
41,0,-0.00741033,-0.0389585,0.330159,1724.02,-2331.25,134.383
42,0,-0.00861089,-0.0367403,0.330461,1724.06,-2331.32,134.431
43,0,-0.00737658,-0.038504,0.329951,1724.03,-2331.24,134.388
44,0,-0.00747379,-0.038193,0.330096,1724.02,-2331.21,134.432
45,0,-0.00862772,-0.0373576,0.330079,1724.06,-2331.39,134.419
46,0,-0.00562275,-0.0413763,0.335884,1723.15,-2330.73,134.722
47,0,-0.00649033,-0.0403968,0.33558,1723.2,-2330.83,134.723
48,0,-0.00666815,-0.040516,0.336071,1723.22,-2330.83,134.732
49,0,-0.00563618,-0.0412831,0.336139,1723.2,-2330.83,134.649
50,0,-0.00741653,-0.0400452,0.336372,1723.22,-2330.84,134.781
51,0,-0.00718534,-0.0406952,0.337111,1723.22,-2330.86,134.754
52,0,-0.0100471,-0.0413109,0.336226,1723.08,-2330.74,134.703
53,0,-0.00718936,-0.0432819,0.339092,1723.38,-2331.12,134.443
54,0,-0.00821462,-0.0427132,0.337407,1723.22,-2330.87,134.56
55,0,-0.00758225,-0.0420314,0.337277,1723.23,-2330.83,134.682
56,0,-0.00700833,-0.0421234,0.338017,1723.28,-2331.01,134.587
57,0,-0.00716355,-0.0426349,0.337456,1723.27,-2330.94,134.575
58,0,-0.00736826,-0.0426924,0.33766,1723.3,-2331.04,134.481
59,0,-0.00626484,-0.043766,0.33752,1723.26,-2330.99,134.458
60,0,-0.00720906,-0.0428834,0.337366,1723.28,-2331.04,134.49
61,0,-0.00649615,-0.0436366,0.337184,1723.31,-2331.03,134.439
62,0,-0.00584879,-0.0425368,0.337895,1723.29,-2330.94,134.563
63,0,-0.00691697,-0.0419508,0.337088,1723.31,-2331.01,134.618
64,0,-0.00668097,-0.0420533,0.335957,1723.31,-2330.93,134.636
65,0,-0.00567149,-0.0431667,0.337326,1723.29,-2330.94,134.621
66,0,-0.00631431,-0.0411888,0.337021,1723.29,-2330.96,134.743
67,0,-0.006333,-0.0413302,0.337208,1723.28,-2330.91,134.752
68,0,-0.00588367,-0.0424162,0.336849,1723.3,-2330.94,134.565
69,0,-0.00679105,-0.0406435,0.33744,1723.34,-2330.98,134.637
70,0,-0.00599215,-0.0418675,0.33667,1723.28,-2330.97,134.594
71,0,-0.006468,-0.0406528,0.336904,1723.28,-2330.93,134.695
72,0,-0.00538625,-0.0424919,0.336952,1723.28,-2330.91,134.623
73,0,-0.00811769,-0.039594,0.337077,1723.29,-2330.87,134.856
74,0,-0.00606397,-0.0410763,0.336899,1723.3,-2330.95,134.722
75,0,-0.00728759,-0.0395248,0.337138,1723.3,-2330.92,134.846
76,0,-0.0049445,-0.0405192,0.332393,1723.87,-2331.21,134.428
